map,finale_skipped,kept_300,window_rejected_300,route_rejected_300,kept_600,kept_route_off,fill_300,actual_total_300,no_anchor_300
c1m1_hotel,0,1,3,1,2,2,3,4,0
c1m2_streets,0,4,2,0,4,4,0,4,0
c1m3_mall,0,4,4,0,4,4,0,4,0
c1m4_atrium,1,,,,,,,,
c2m1_highway,0,4,2,3,4,4,0,4,0
c2m2_fairgrounds,0,4,3,4,4,4,0,4,0
c2m3_coaster,0,4,1,1,4,4,0,4,0
c2m4_barns,0,0,1,2,0,2,0,0,1
c2m5_concert,1,,,,,,,,
c3m1_plankcountry,0,4,5,2,4,4,0,4,0
c3m2_swamp,0,4,1,0,4,4,0,4,0
c3m3_shantytown,0,0,3,1,0,1,0,0,1
c3m4_plantation,1,,,,,,,,
c4m1_milltown_a,0,4,0,0,4,4,0,4,0
c4m2_sugarmill_a,0,1,3,4,0,4,3,4,0
c4m3_sugarmill_b,0,4,3,0,4,4,0,4,0
c4m4_milltown_b,0,4,2,1,4,4,0,4,0
c4m5_milltown_escape,1,,,,,,,,
c5m1_waterfront,0,0,0,0,0,0,0,0,1
c5m2_park,0,4,1,1,4,4,0,4,0
c5m3_cemetery,0,0,3,6,1,4,0,0,1
c5m4_quarter,0,0,1,5,2,4,0,0,1
c5m5_bridge,1,,,,,,,,
c6m1_riverbank,0,0,2,2,0,2,0,0,1
c6m2_bedlam,0,3,4,0,3,3,1,4,0
c6m3_port,1,,,,,,,,
c7m1_docks,0,3,1,0,3,3,1,4,0
c7m2_barge,0,3,2,5,4,4,1,4,0
c7m3_port,1,,,,,,,,
c8m1_apartment,0,0,0,3,0,3,0,0,1
c8m2_subway,0,3,1,0,3,3,1,4,0
c8m3_sewers,0,2,0,4,3,4,2,4,0
c8m4_interior,0,1,0,1,1,2,3,4,0
c8m5_rooftop,1,,,,,,,,
c9m1_alleys,0,4,1,2,4,4,0,4,0
c9m2_lots,1,,,,,,,,
c10m1_caves,0,1,0,0,1,1,3,4,0
c10m2_drainage,0,2,0,1,2,3,2,4,0
c10m3_ranchhouse,0,0,1,2,0,2,0,0,1
c10m4_mainstreet,0,1,2,1,1,2,3,4,0
c10m5_houseboat,1,,,,,,,,
c11m1_greenhouse,0,2,0,0,1,1,3,4,0
c11m2_offices,0,0,0,3,0,3,0,0,1
c11m3_garage,0,1,0,4,1,4,3,4,0
c11m4_terminal,0,0,0,2,0,2,0,0,1
c11m5_runway,1,,,,,,,,
c12m1_hilltop,0,1,1,0,1,1,3,4,0
c12m2_traintunnel,0,1,1,3,4,4,3,4,0
c12m3_bridge,0,4,1,1,4,4,0,4,0
c12m4_barn,0,2,0,0,2,2,2,4,0
c12m5_cornfield,1,,,,,,,,
c13m1_alpinecreek,0,2,0,0,2,2,2,4,0
c13m2_southpinestream,0,2,2,1,2,3,2,4,0
c13m3_memorialbridge,0,0,1,2,0,2,0,0,1
c13m4_cutthroatcreek,1,,,,,,,,
c14m1_junkyard,0,1,0,3,4,4,3,4,0
c14m2_lighthouse,1,,,,,,,,
